InvestorGPT Research Report
===========================
Company: Apple Inc. (AAPL)
Recommendation: HOLD
Confidence: 0.8100

revenue: 416161000000.0000000000 (2025)
revenue: 391035000000.0000000000 (2024)
revenue: 383285000000.0000000000 (2023)
revenue: 394328000000.0000000000 (2022)
cogs: 220960000000.0000000000 (2025)
cogs: 210352000000.0000000000 (2024)
cogs: 214137000000.0000000000 (2023)
cogs: 223546000000.0000000000 (2022)
net_income: 112010000000.0000000000 (2025)
net_income: 93736000000.0000000000 (2024)
net_income: 96995000000.0000000000 (2023)
net_income: 99803000000.0000000000 (2022)
operating_income: 133050000000.0000000000 (2025)
operating_income: 123216000000.0000000000 (2024)
operating_income: 114301000000.0000000000 (2023)
operating_income: 119437000000.0000000000 (2022)
ebit: 133050000000.0000000000 (2025)
ebit: 123216000000.0000000000 (2024)
ebit: 114301000000.0000000000 (2023)
ebit: 119437000000.0000000000 (2022)
ebitda: 144748000000.0000000000 (2025)
ebitda: 134661000000.0000000000 (2024)
ebitda: 125820000000.0000000000 (2023)
ebitda: 130541000000.0000000000 (2022)
current_assets: 147957000000.0000000000 (2025)
current_assets: 152987000000.0000000000 (2024)
current_assets: 143566000000.0000000000 (2023)
current_assets: 135405000000.0000000000 (2022)
current_liabilities: 165631000000.0000000000 (2025)
current_liabilities: 176392000000.0000000000 (2024)
current_liabilities: 145308000000.0000000000 (2023)
current_liabilities: 153982000000.0000000000 (2022)
inventory: 5718000000.0000000000 (2025)
inventory: 7286000000.0000000000 (2024)
inventory: 6331000000.0000000000 (2023)
inventory: 4946000000.0000000000 (2022)
total_assets: 359241000000.0000000000 (2025)
total_assets: 364980000000.0000000000 (2024)
total_assets: 352583000000.0000000000 (2023)
total_assets: 352755000000.0000000000 (2022)
shareholder_equity: 73733000000.0000000000 (2025)
shareholder_equity: 56950000000.0000000000 (2024)
shareholder_equity: 62146000000.0000000000 (2023)
shareholder_equity: 50672000000.0000000000 (2022)
long_term_debt: 78328000000.0000000000 (2025)
long_term_debt: 85750000000.0000000000 (2024)
long_term_debt: 95281000000.0000000000 (2023)
long_term_debt: 98959000000.0000000000 (2022)
interest_expense: 3933000000.0000000000 (2023)
interest_expense: 2931000000.0000000000 (2022)
interest_expense: 2645000000.0000000000 (2021)
operating_cash_flow: 111482000000.0000000000 (2025)
operating_cash_flow: 118254000000.0000000000 (2024)
operating_cash_flow: 110543000000.0000000000 (2023)
operating_cash_flow: 122151000000.0000000000 (2022)
capital_expenditures: -12715000000.0000000000 (2025)
capital_expenditures: -9447000000.0000000000 (2024)
capital_expenditures: -10959000000.0000000000 (2023)
capital_expenditures: -10708000000.0000000000 (2022)
retained_earnings: -14264000000.0000000000 (2025)
retained_earnings: -19154000000.0000000000 (2024)
retained_earnings: -214000000.0000000000 (2023)
retained_earnings: -3068000000.0000000000 (2022)
diluted_eps: 7.4600000000 (2025)
diluted_eps: 6.0800000000 (2024)
diluted_eps: 6.1300000000 (2023)
diluted_eps: 6.1100000000 (2022)
working_capital: -17674000000.0000000000 (2025)
working_capital: -23405000000.0000000000 (2024)
working_capital: -1742000000.0000000000 (2023)
working_capital: -18577000000.0000000000 (2022)
f_score: 8.0000000000 (None)
z_score: None (None)
sentiment_score: -0.2000000000 (None)
